GEO_ID,NAME_2010,Household_ct_2010,Mean_Income_2010,NAME_2011,Household_ct_2011,Mean_Income_2011,NAME_2012,Household_ct_2012,Mean_Income_2012,NAME_2013,Household_ct_2013,Mean_Income_2013,NAME_2014,Household_ct_2014,Mean_Income_2014,NAME_2015,Household_ct_2015,Mean_Income_2015,NAME_2016,Household_ct_2016,Mean_Income_2016,NAME_2017,Household_ct_2017,Mean_Income_2017,NAME_2018,Household_ct_2018,Mean_Income_2018,NAME_2019,Household_ct_2019,Mean_Income_2019,NAME_2021,Household_ct_2021,Mean_Income_2021,NAME_2022,Household_ct_2022,Mean_Income_2022,NAME_2023,Household_ct_2023,Mean_Income_2023
Geography,Geographic Area Name,Households!!Estimate!!Total,Households!!Estimate!!Mean income (dollars),Geographic Area Name,Households!!Estimate!!Total,Households!!Estimate!!Mean income (dollars),Geographic Area Name,Households!!Estimate!!Total,Households!!Estimate!!Mean income (dollars),Geographic Area Name,Households!!Estimate!!Total,Households!!Estimate!!Mean income (dollars),Geographic Area Name,Households!!Estimate!!Total,Households!!Estimate!!Mean income (dollars),Geographic Area Name,Households!!Estimate!!Total,Households!!Estimate!!Mean income (dollars),Geographic Area Name,Households!!Estimate!!Total,Households!!Estimate!!Mean income (dollars),Geographic Area Name,Households!!Estimate!!Total,Households!!Estimate!!Mean income (dollars),Geographic Area Name,Estimate!!Households!!Total,Estimate!!Households!!Mean income (dollars),Geographic Area Name,Estimate!!Households!!Total,Estimate!!Households!!Mean income (dollars),Geographic Area Name,Estimate!!Households!!Total,Estimate!!Households!!Mean income (dollars),Geographic Area Name,Estimate!!Households!!Total,Estimate!!Households!!Mean income (dollars),Geographic Area Name,Estimate!!Households!!Total,Estimate!!Households!!Mean income (dollars)
795P200US2601500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saginaw County PUMA; Michigan,79275,77042,Saginaw County PUMA; Michigan,77158,83455
795P200US2601600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuscola, Sanilac & Huron Counties PUMA; Michigan",54130,71985,"Tuscola, Sanilac & Huron Counties PUMA; Michigan",54866,73901
795P200US2601701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Genesee (East, excluding Grand Blanc area) & Lapeer Counties PUMA; Michigan",58334,87705,"Genesee (East, excluding Grand Blanc area) & Lapeer Counties PUMA; Michigan",54938,85247
795P200US2601702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Genesee County (Central)--Outside Flint City, including Grand Blanc area PUMA; Michigan",52026,83622,"Genesee County (Central)--Outside Flint City, including Grand Blanc area PUMA; Michigan",52676,86247
795P200US2601703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genesee County (Central)--Flint City and Mount Morris City Area PUMA; Michigan,44105,53372,Genesee County (Central)--Flint City and Mount Morris City Area PUMA; Michigan,43117,45231
795P200US2601704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genesee (West) & Shiawassee Counties PUMA; Michigan,77373,88238,Genesee (West) & Shiawassee Counties PUMA; Michigan,74799,93729
795P200US2601801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ingham County (South & East) PUMA; Michigan,65316,97507,Ingham County (South & East) PUMA; Michigan,65397,98264
795P200US2601802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ingham County (Northwest) PUMA; Michigan,53169,61621,Ingham County (Northwest) PUMA; Michigan,51800,67503
795P200US2601900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eaton & Clinton Counties PUMA; Michigan,75952,92392,Eaton & Clinton Counties PUMA; Michigan,76834,100337
795P200US2602000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calhoun & Barry Counties PUMA; Michigan,77840,81745,Calhoun & Barry Counties PUMA; Michigan,79939,80142
795P200US2602101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kalamazoo County (Outer) PUMA; Michigan,55153,109518,Kalamazoo County (Outer) PUMA; Michigan,56244,107982
795P200US2602102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kalamazoo County (Central)--Kalamazoo & Portage Cities Area PUMA; Michigan,53244,80471,Kalamazoo County (Central)--Kalamazoo & Portage Cities Area PUMA; Michigan,51649,89390
795P200US2602200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St. Joseph & Branch Counties PUMA; Michigan,40719,75336,St. Joseph & Branch Counties PUMA; Michigan,41790,77907
795P200US2602300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Van Buren & Cass Counties PUMA; Michigan,53004,83643,Van Buren & Cass Counties PUMA; Michigan,53439,88818
795P200US2602400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Berrien County PUMA; Michigan,63311,83779,Berrien County PUMA; Michigan,65129,87271
795P200US2602500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lenawee & Hillsdale Counties PUMA; Michigan,55548,79722,Lenawee & Hillsdale Counties PUMA; Michigan,58494,77582
795P200US2602600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jackson County PUMA; Michigan,63368,78700,Jackson County PUMA; Michigan,61851,83069
795P200US2602701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Washtenaw County (West, Northeast & Southeast) PUMA; Michigan",44545,141029,"Washtenaw County (West, Northeast & Southeast) PUMA; Michigan",42921,139978
795P200US2602702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Washtenaw County (East Central)--Ann Arbor City Area PUMA; Michigan,50166,116731,Washtenaw County (East Central)--Ann Arbor City Area PUMA; Michigan,49296,119377
795P200US2602703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Washtenaw County (East Central)--Outside Ann Arbor City PUMA; Michigan,56234,94958,Washtenaw County (East Central)--Outside Ann Arbor City PUMA; Michigan,57162,102328
795P200US2602800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Livingston County PUMA; Michigan,76620,125683,Livingston County PUMA; Michigan,77304,129334
795P200US2602901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oakland County (West) PUMA; Michigan,54233,123334,Oakland County (West) PUMA; Michigan,56160,119461
795P200US2602902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oakland County (Northeast) PUMA; Michigan,55076,143439,Oakland County (Northeast) PUMA; Michigan,52570,146247
795P200US2602903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oakland County (East Central)--Troy & Rochester Area PUMA; Michigan,68878,138083,Oakland County (East Central)--Troy & Rochester Area PUMA; Michigan,69920,138442
795P200US2602904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oakland County (Central) PUMA; Michigan,68396,81482,Oakland County (Central) PUMA; Michigan,68109,84327
795P200US2602905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oakland County (Southwest) PUMA; Michigan,57103,127863,Oakland County (Southwest) PUMA; Michigan,56543,128339
795P200US2602906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oakland County (Central)--Birmingham & Bloomfield Area PUMA; Michigan,62501,193630,Oakland County (Central)--Birmingham & Bloomfield Area PUMA; Michigan,60107,201472
795P200US2602907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oakland County (South Central)--Farmington & Southfield Area PUMA; Michigan,76055,99528,Oakland County (South Central)--Farmington & Southfield Area PUMA; Michigan,79701,103672
795P200US2602908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oakland County (Southeast) PUMA; Michigan,88396,107409,Oakland County (Southeast) PUMA; Michigan,90423,105969
795P200US2603001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Macomb County (North) PUMA; Michigan,50437,113734,Macomb County (North) PUMA; Michigan,47395,106256
795P200US2603002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Macomb County (Central) PUMA; Michigan,66554,116342,Macomb County (Central) PUMA; Michigan,69129,115562
795P200US2603003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Macomb County (Southwest)--Sterling Heights City PUMA; Michigan,49804,94558,Macomb County (Southwest)--Sterling Heights City PUMA; Michigan,52105,92499
795P200US2603004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Macomb County (Southeast)--Mount Clemens & Fraser Area PUMA; Michigan,68905,87402,Macomb County (Southeast)--Mount Clemens & Fraser Area PUMA; Michigan,70704,88767
795P200US2603005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Macomb County (Southeast)--St. Clair Shores, Roseville & Eastpointe Area PUMA; Michigan",61065,76096,"Macomb County (Southeast)--St. Clair Shores, Roseville & Eastpointe Area PUMA; Michigan",62028,82013
795P200US2603006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Macomb County (Southwest)--Warren & Center Line Cities PUMA; Michigan,62324,74208,Macomb County (Southwest)--Warren & Center Line Cities PUMA; Michigan,58103,80247
795P200US2603100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St. Clair County PUMA; Michigan,69109,79686,St. Clair County PUMA; Michigan,69234,89218
795P200US2603201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wayne County (Northwest) PUMA; Michigan,79918,133021,Wayne County (Northwest) PUMA; Michigan,80160,136826
795P200US2603202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wayne County (North Central)--Livonia City & Redford Charter Township PUMA; Michigan,58719,98990,Wayne County (North Central)--Livonia City & Redford Charter Township PUMA; Michigan,57030,101651
795P200US2603203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wayne County (Central)--Dearborn & Dearborn Heights Cities PUMA; Michigan,59554,74555,Wayne County (Central)--Dearborn & Dearborn Heights Cities PUMA; Michigan,59087,77122
795P200US2603204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wayne County (Central)--Westland, Garden City, Inkster & Wayne Cities PUMA; Michigan",64741,71381,"Wayne County (Central)--Westland, Garden City, Inkster & Wayne Cities PUMA; Michigan",65327,67302
795P200US2603205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wayne County (Southwest) PUMA; Michigan,45366,77931,Wayne County (Southwest) PUMA; Michigan,44912,76610
795P200US2603206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wayne County (Southeast)--Downriver Area (South) PUMA; Michigan,54834,90739,Wayne County (Southeast)--Downriver Area (South) PUMA; Michigan,53679,97724
795P200US2603207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wayne County (Southeast)--Downriver Area (North) PUMA; Michigan,47834,70197,Wayne County (Southeast)--Downriver Area (North) PUMA; Michigan,46023,73867
795P200US2603208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Detroit City (Northwest) PUMA; Michigan,57497,53285,Detroit City (Northwest) PUMA; Michigan,58000,49003
795P200US2603209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Detroit City (North Central) PUMA; Michigan,49775,57186,Detroit City (North Central) PUMA; Michigan,49954,63124
795P200US2603210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Detroit City (Northeast) PUMA; Michigan,36036,46603,Detroit City (Northeast) PUMA; Michigan,39816,44897
795P200US2603211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Detroit City (South Central & Southeast) PUMA; Michigan,56251,56304,Detroit City (South Central & Southeast) PUMA; Michigan,60131,65906
795P200US2603212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Detroit City (Southwest) PUMA; Michigan,37279,44311,Detroit City (Southwest) PUMA; Michigan,40990,52025
795P200US2603213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wayne County (Northeast)--I-94 Corridor PUMA; Michigan,43585,117650,Wayne County (Northeast)--I-94 Corridor PUMA; Michigan,41223,107806
795P200US2603300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monroe County PUMA; Michigan,62946,94637,Monroe County PUMA; Michigan,62936,92610
795P200US2700101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northwest Minnesota PUMA; Minnesota,61620,83245,Northwest Minnesota PUMA; Minnesota,61361,87014
795P200US2700201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North Central Minnesota PUMA; Minnesota,61667,85822,North Central Minnesota PUMA; Minnesota,62991,88513
795P200US2700301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cook, Lake & St. Louis (North) Counties PUMA; Minnesota",46780,79769,"Cook, Lake & St. Louis (North) Counties PUMA; Minnesota",46583,84379
795P200US2700401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Louis County (Southeast)--Duluth, Hermantown & Proctor Cities PUMA; Minnesota",44736,84070,"St. Louis County (Southeast)--Duluth, Hermantown & Proctor Cities PUMA; Minnesota",45380,100976
795P200US2700501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aitkin, Carlton, Kanabec, Pine & St. Louis (Southwest) Counties PUMA; Minnesota",43054,85329,"Aitkin, Carlton, Kanabec, Pine & St. Louis (Southwest) Counties PUMA; Minnesota",46057,86161
795P200US2700600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crow Wing, Morrison, Todd & Wadena Counties PUMA; Minnesota",58765,83555,"Crow Wing, Morrison, Todd & Wadena Counties PUMA; Minnesota",63488,89296
795P200US2700700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clay, Otter Tail & Wilkin Counties PUMA; Minnesota",54520,98019,"Clay, Otter Tail & Wilkin Counties PUMA; Minnesota",55899,89536
795P200US2700800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,West Central Minnesota PUMA; Minnesota,49797,90911,West Central Minnesota PUMA; Minnesota,49227,93277
795P200US2700901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Benton (Northwest) & Stearns (West) Counties PUMA; Minnesota,41019,99581,Benton (Northwest) & Stearns (West) Counties PUMA; Minnesota,40855,101369
795P200US2701001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Benton (Southwest), Sherburne (Northwest) & Stearns (East) Counties--St. Cloud City PUMA; Minnesota",41403,80851,"Benton (Southwest), Sherburne (Northwest) & Stearns (East) Counties--St. Cloud City PUMA; Minnesota",39905,94302
795P200US2701101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sherburne (East) & Wright (North) Counties PUMA; Minnesota,37856,111423,Sherburne (East) & Wright (North) Counties PUMA; Minnesota,39543,118720
795P200US2701200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chisago, Isanti & Mille Lacs Counties PUMA; Minnesota",48343,102088,"Chisago, Isanti & Mille Lacs Counties PUMA; Minnesota",49912,100167
